#   Full data used in Becker et al. 2018
# data sources: K2 campaign 5 (K2 C5)
#               K2 campaign 18 (K2 C18)
#               HATNet survey (HAT)
#               Kelt (KELT)
#               WASP (WASP)
#   Errors are uniquely derived for HAT/KELT/WASP
# data sets. 
#   In the paper, we scale errors so that flat line 
# model has a chi-sq of 1, but that scaling is not
# reflected in this data file. 
#   K2 errors are set to the K2 precision for each 
# K2 campaign.
# Flux and error are normalized.
# BJD and BJD-2454833 are given in days.
#
,BJD,BJD-2454833,Flux,Error,Data_Source
212,2457145.005,2312.0047,1.0000214,3.80E-05,K2 C5
213,2457145.025,2312.0251,0.99999142,3.80E-05,K2 C5
214,2457145.046,2312.0455,0.99999057,3.80E-05,K2 C5
215,2457145.066,2312.066,0.99999646,3.80E-05,K2 C5
216,2457145.086,2312.0864,0.99998836,3.80E-05,K2 C5
217,2457145.107,2312.1068,1.0000026,3.80E-05,K2 C5
218,2457145.127,2312.1273,0.99992399,3.80E-05,K2 C5
219,2457145.148,2312.1477,0.99995652,3.80E-05,K2 C5
220,2457145.168,2312.1681,0.99993762,3.80E-05,K2 C5
221,2457145.209,2312.209,0.99995975,3.80E-05,K2 C5
222,2457145.229,2312.2294,1.0000021,3.80E-05,K2 C5
223,2457145.25,2312.2499,0.99997336,3.80E-05,K2 C5
224,2457145.27,2312.2703,1.0001024,3.80E-05,K2 C5
225,2457145.291,2312.2907,1.0000474,3.80E-05,K2 C5
226,2457145.311,2312.3112,0.99993366,3.80E-05,K2 C5
227,2457145.332,2312.3316,1.0000048,3.80E-05,K2 C5
228,2457145.352,2312.352,1.0000153,3.80E-05,K2 C5
229,2457145.372,2312.3724,0.99992883,3.80E-05,K2 C5
230,2457145.393,2312.3929,1.0000201,3.80E-05,K2 C5
231,2457145.413,2312.4133,1.0000301,3.80E-05,K2 C5
232,2457145.454,2312.4542,0.99999426,3.80E-05,K2 C5
233,2457145.475,2312.4746,0.9999508,3.80E-05,K2 C5
234,2457145.495,2312.495,1.0000464,3.80E-05,K2 C5
235,2457145.516,2312.5155,1.0000605,3.80E-05,K2 C5
236,2457145.536,2312.5359,1.0000452,3.80E-05,K2 C5
237,2457145.556,2312.5563,1.0001195,3.80E-05,K2 C5
238,2457145.597,2312.5972,1.0001581,3.80E-05,K2 C5
239,2457145.618,2312.6176,1.0000294,3.80E-05,K2 C5
240,2457145.638,2312.6381,0.99999394,3.80E-05,K2 C5
241,2457145.659,2312.6585,0.99996764,3.80E-05,K2 C5
242,2457145.679,2312.6789,0.9999941,3.80E-05,K2 C5
243,2457145.699,2312.6994,0.99993992,3.80E-05,K2 C5
244,2457145.72,2312.7198,0.9999943,3.80E-05,K2 C5
245,2457145.74,2312.7402,0.99997383,3.80E-05,K2 C5
246,2457145.761,2312.7607,0.9999008,3.80E-05,K2 C5
247,2457145.781,2312.7811,0.99997783,3.80E-05,K2 C5
248,2457145.802,2312.8015,0.9999355,3.80E-05,K2 C5
249,2457145.822,2312.822,0.99994518,3.80E-05,K2 C5
250,2457145.842,2312.8424,0.99995979,3.80E-05,K2 C5
251,2457145.863,2312.8628,0.99994852,3.80E-05,K2 C5
252,2457145.883,2312.8832,0.999982,3.80E-05,K2 C5
253,2457145.904,2312.9037,0.99999886,3.80E-05,K2 C5
254,2457145.924,2312.9241,1.0000018,3.80E-05,K2 C5
255,2457145.945,2312.9445,1.000012,3.80E-05,K2 C5
256,2457145.965,2312.965,1.0000062,3.80E-05,K2 C5
257,2457145.985,2312.9854,1.0000426,3.80E-05,K2 C5
258,2457146.006,2313.0058,1.0000171,3.80E-05,K2 C5
259,2457146.026,2313.0263,0.99999451,3.80E-05,K2 C5
260,2457146.047,2313.0467,1.0000065,3.80E-05,K2 C5
261,2457146.067,2313.0671,1.0000026,3.80E-05,K2 C5
262,2457146.088,2313.0876,1.0000048,3.80E-05,K2 C5
263,2457146.108,2313.108,0.99998974,3.80E-05,K2 C5
264,2457146.128,2313.1284,1.0000052,3.80E-05,K2 C5
265,2457146.149,2313.1489,0.99997854,3.80E-05,K2 C5
266,2457146.19,2313.1897,1.000005,3.80E-05,K2 C5
267,2457146.21,2313.2102,0.99999629,3.80E-05,K2 C5
268,2457146.231,2313.2306,0.99998292,3.80E-05,K2 C5
269,2457146.251,2313.251,1.0000185,3.80E-05,K2 C5
270,2457146.272,2313.2715,1.0000283,3.80E-05,K2 C5
271,2457146.292,2313.2919,1.0000178,3.80E-05,K2 C5
272,2457146.312,2313.3123,1.0000475,3.80E-05,K2 C5
273,2457146.333,2313.3328,1.0000583,3.80E-05,K2 C5
274,2457146.353,2313.3532,1.0000288,3.80E-05,K2 C5
275,2457146.374,2313.3736,1.0000002,3.80E-05,K2 C5
276,2457146.394,2313.394,1.0000228,3.80E-05,K2 C5
277,2457146.435,2313.4349,0.99999902,3.80E-05,K2 C5
278,2457146.455,2313.4553,0.99999781,3.80E-05,K2 C5
279,2457146.476,2313.4758,1.0000019,3.80E-05,K2 C5
280,2457146.496,2313.4962,1.0000165,3.80E-05,K2 C5
281,2457146.517,2313.5166,0.99996332,3.80E-05,K2 C5
282,2457146.537,2313.5371,1.0000006,3.80E-05,K2 C5
283,2457146.558,2313.5575,0.99998498,3.80E-05,K2 C5
284,2457146.578,2313.5779,1.0000449,3.80E-05,K2 C5
285,2457146.598,2313.5984,1.0000079,3.80E-05,K2 C5
286,2457146.619,2313.6188,0.99997355,3.80E-05,K2 C5
287,2457146.639,2313.6392,1.0000439,3.80E-05,K2 C5
288,2457146.66,2313.6597,1.0000242,3.80E-05,K2 C5
289,2457146.68,2313.6801,0.99996666,3.80E-05,K2 C5
290,2457146.701,2313.7005,0.99998016,3.80E-05,K2 C5
291,2457146.721,2313.721,0.99994755,3.80E-05,K2 C5
292,2457146.741,2313.7414,0.99997061,3.80E-05,K2 C5
293,2457146.762,2313.7618,0.9999915,3.80E-05,K2 C5
294,2457146.782,2313.7823,0.99999649,3.80E-05,K2 C5
295,2457146.803,2313.8027,0.99997049,3.80E-05,K2 C5
296,2457146.823,2313.8231,0.9999662,3.80E-05,K2 C5
297,2457146.844,2313.8435,1.000006,3.80E-05,K2 C5
298,2457146.864,2313.864,0.9999982,3.80E-05,K2 C5
299,2457146.884,2313.8844,1.0000327,3.80E-05,K2 C5
300,2457146.905,2313.9048,0.99992832,3.80E-05,K2 C5
301,2457146.925,2313.9253,1.0000016,3.80E-05,K2 C5
302,2457146.946,2313.9457,0.99995685,3.80E-05,K2 C5
303,2457146.966,2313.9661,0.99999034,3.80E-05,K2 C5
304,2457146.987,2313.9866,0.99995871,3.80E-05,K2 C5
305,2457147.007,2314.007,0.99997749,3.80E-05,K2 C5
306,2457147.027,2314.0274,1.0000319,3.80E-05,K2 C5
307,2457147.048,2314.0479,1.0000389,3.80E-05,K2 C5
308,2457147.068,2314.0683,1.0000235,3.80E-05,K2 C5
309,2457147.089,2314.0887,1.0000793,3.80E-05,K2 C5
310,2457147.109,2314.1092,1.0000827,3.80E-05,K2 C5
311,2457147.13,2314.1296,0.99995654,3.80E-05,K2 C5
312,2457147.171,2314.1705,1.0000305,3.80E-05,K2 C5
313,2457147.191,2314.1909,0.99995542,3.80E-05,K2 C5
314,2457147.211,2314.2113,1.0000704,3.80E-05,K2 C5
315,2457147.232,2314.2318,0.99996803,3.80E-05,K2 C5
316,2457147.252,2314.2522,0.99994984,3.80E-05,K2 C5
317,2457147.273,2314.2726,0.99997254,3.80E-05,K2 C5
318,2457147.293,2314.2931,1.0000832,3.80E-05,K2 C5
