,trial,End_Time(yrs),whole_system_stable,planet
250,4584,1000614.648,yes,1
251,4584,1000614.648,yes,2
252,4585,1000614.648,yes,0
253,4585,1000614.648,yes,1
254,4585,1000614.648,yes,2
255,4586,1000614.648,yes,0
256,4586,1000614.648,yes,1
257,4586,1000614.648,yes,2
258,4587,273.4719614,no,0
259,4587,198.0639796,no,1
260,4587,198.0639796,no,2
261,4588,3431.49226,no,0
262,4588,3431.49226,no,1
263,4588,14504.24288,no,2
264,4589,1000614.648,yes,0
265,4589,1000614.648,yes,1
266,4589,1000614.648,yes,2
267,4590,9886.828597,no,0
268,4590,9886.828597,no,1
269,4590,116620.1232,no,2
270,4591,7643.783102,no,0
271,4591,7421.439336,no,1
272,4591,7421.439336,no,2
273,4592,1537.360922,no,0
274,4592,1090.537101,no,1
275,4592,1090.537101,no,2
276,4593,120596.9706,no,0
277,4593,64773.55025,no,1
278,4593,64773.55025,no,2
279,4594,1000614.648,yes,0
280,4594,1000614.648,yes,1
281,4594,1000614.648,yes,2
282,4595,1000614.648,yes,0
283,4595,1000614.648,yes,1
284,4595,1000614.648,yes,2
285,4596,1000614.648,yes,0
286,4596,1000614.648,yes,1
287,4596,1000614.648,yes,2
288,4597,3425.613603,no,0
289,4597,3425.613603,no,1
290,4597,11786.25744,no,2
291,4598,45.9486375,no,0
292,4598,45.9486375,no,1
293,4598,57.1242123,no,2
294,4599,467.4004778,no,0
295,4599,467.4004778,no,1
296,4599,3151.732846,no,2
297,4600,24670.93473,no,0
298,4600,24670.93473,no,1
299,4600,24901.07726,no,2
300,4601,817.1600244,no,0
301,4601,817.1600244,no,1
302,4601,2492.242433,no,2
303,4602,1726.101288,no,0
304,4602,1726.101288,no,1
305,4602,1752.89467,no,2
306,4603,7413.548167,no,0
307,4603,7413.548167,no,1
308,4603,7481.547209,no,2
309,4604,1000614.648,yes,0
310,4604,1000614.648,yes,1
311,4604,1000614.648,yes,2
312,4605,905.7135752,no,0
313,4605,905.7135752,no,1
314,4605,4281.217985,no,2
315,4606,2396.5448,no,0
316,4606,1267.195839,no,1
317,4606,1267.195839,no,2
318,4607,296466.296,no,0
319,4607,296466.296,no,1
320,4607,296819.2886,no,2
321,4608,1000614.648,yes,0
322,4608,1000614.648,yes,1
323,4608,1000614.648,yes,2
324,4609,15017.84427,no,0
325,4609,2639.397525,no,1
326,4609,2639.397525,no,2
327,4610,492518.4382,no,0
328,4610,492518.4382,no,1
329,4610,542473.3785,no,2
330,4611,1264.984493,no,0
331,4611,1264.984493,no,1
332,4611,52989.5622,no,2
333,4612,409.9904741,no,0
334,4612,28.8096791,no,1
335,4612,28.8096791,no,2
336,4613,1000614.648,yes,0
337,4613,1000614.648,yes,1
338,4613,1000614.648,yes,2
339,4614,13057.88618,no,0
340,4614,60.4973085,no,1
341,4614,60.4973085,no,2
342,4615,1000614.648,yes,0
343,4615,1000614.648,yes,1
344,4615,1000614.648,yes,2
345,4616,29345.78052,no,0
346,4616,29345.78052,no,1
347,4616,1000614.648,no,2
348,4617,23617.37115,no,0
349,4617,23617.37115,no,1
350,4617,180114.9571,no,2
351,4618,1000614.648,yes,0
352,4618,1000614.648,yes,1
353,4618,1000614.648,yes,2
354,4619,3876.756325,no,0
355,4619,3876.756325,no,1
356,4619,6394.646126,no,2
357,4620,11558.66675,no,0
358,4620,1000614.648,no,1
359,4620,444.2485376,no,2
360,4621,33743.17455,no,0
361,4621,33743.17455,no,1
362,4621,44224.4834,no,2
363,4622,188117.9357,no,0
364,4622,188117.9357,no,1
365,4622,197338.7549,no,2
366,4623,1000614.648,yes,0
367,4623,1000614.648,yes,1
368,4623,1000614.648,yes,2
369,4624,16153.33684,no,0
370,4624,723.1860617,no,1
371,4624,723.1860617,no,2
372,4625,1000614.648,yes,0
373,4625,1000614.648,yes,1
374,4625,1000614.648,yes,2
375,4626,1000614.648,yes,0
376,4626,1000614.648,yes,1
377,4626,1000614.648,yes,2
378,4627,1292.584451,no,0
379,4627,1292.584451,no,1
380,4627,33382.17037,no,2
381,4628,1000614.648,yes,0
382,4628,1000614.648,yes,1
383,4628,1000614.648,yes,2
384,4629,2207.564999,no,0
385,4629,1260.423084,no,1
386,4629,1260.423084,no,2
387,4630,93048.84488,no,0
388,4630,93048.84488,no,1
389,4630,96550.3007,no,2
390,4631,5644.257642,no,0
391,4631,716.7868706,no,1
392,4631,716.7868706,no,2
393,4632,86.1071153,no,0
394,4632,86.1071153,no,1
395,4632,2840.538165,no,2
396,4633,19176.45883,no,0
397,4633,18530.06111,no,1
398,4633,18530.06111,no,2
399,4634,260506.8353,no,0
400,4634,260506.8353,no,1
401,4634,291000.6845,no,2
402,4635,1000614.648,yes,0
403,4635,1000614.648,yes,1
404,4635,1000614.648,yes,2
405,4636,1000614.648,yes,0
406,4636,1000614.648,yes,1
407,4636,1000614.648,yes,2
408,4637,74736.32278,no,0
409,4637,344.3417641,no,1
410,4637,344.3417641,no,2
411,4638,1000614.648,yes,0
412,4638,1000614.648,yes,1
413,4638,1000614.648,yes,2
414,4639,213.7415096,no,0
415,4639,83.6820995,no,1
416,4639,83.6820995,no,2
417,4640,1000614.648,yes,0
418,4640,1000614.648,yes,1
419,4640,1000614.648,yes,2
420,4641,20952.5432,no,0
421,4641,20952.5432,no,1
422,4641,44165.65525,no,2
423,4642,86.1071153,no,0
424,4642,86.1071153,no,1
425,4642,2840.538165,no,2
426,4643,2526.292019,no,0
427,4643,2526.292019,no,1
428,4643,2936.078171,no,2
429,4644,1000614.648,yes,0
430,4644,1000614.648,yes,1
431,4644,1000614.648,yes,2
432,4645,19980.3615,no,0
433,4645,19980.3615,no,1
434,4645,19983.13023,no,2
435,4646,1000614.648,yes,0
436,4646,1000614.648,yes,1
437,4646,1000614.648,yes,2
438,4647,1000614.648,yes,0
439,4647,1000614.648,yes,1
440,4647,1000614.648,yes,2
441,4648,45012.74685,no,0
442,4648,45012.74685,no,1
443,4648,46603.99031,no,2
444,4649,4060.558262,no,0
445,4649,4060.558262,no,1
446,4649,18753.04244,no,2
447,4650,1000614.648,yes,0
448,4650,1000614.648,yes,1
449,4650,1000614.648,yes,2
450,4651,615.8979441,no,0
451,4651,615.8979441,no,1
452,4651,2302.857004,no,2
453,4652,1000614.648,yes,0
454,4652,1000614.648,yes,1
455,4652,1000614.648,yes,2
456,4653,896386.0369,no,0
457,4653,896386.0369,no,1
458,4653,896386.0369,no,2
459,4654,1000614.648,yes,0
460,4654,1000614.648,yes,1
461,4654,1000614.648,yes,2
462,4655,1000614.648,yes,0
463,4655,1000614.648,yes,1
